InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,customerID,Churn
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(43.2, 50.4]",Credit card (automatic),Yes,Month-to-month,Yes,"(98.65, 108.7]",No,Female,Yes,No,c2669968-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf069476-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(21.6, 28.8]",Mailed check,No,Month-to-month,Yes,"(78.55, 88.6]",No,Female,Yes,Yes,cfa20fc2-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf670c02-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,No,Yes,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,Yes,"(88.6, 98.65]",No,Female,Yes,Yes,c7eef36c-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becac73e-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,Yes,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c520e046-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",Yes,Female,Yes,No,bfb92fa0-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c10e994e-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,bf28f642-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,Yes,No,No,"(28.8, 36.0]",Mailed check,Yes,One year,Yes,"(68.5, 78.55]",No,Female,Yes,Yes,cb50a0e6-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,c6022a06-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c5dd281e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,Yes,No,"(43.2, 50.4]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,c4449f0a-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,Yes,"(28.3, 38.35]",No phone service,Male,No,No,cd0b59da-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,Yes,No internet service,"(36.0, 43.2]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c70f235e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,No,No,No,"(57.6, 64.8]",Electronic check,Yes,Two year,No,"(58.45, 68.5]",No,Male,Yes,Yes,cef9f7b0-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,bf8c3694-7b0c-11ec-a944-acde48001122,1
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c76b2ab4-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becc70de-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,c95ed2b2-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,Yes,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,No,bfd71330-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,No,No,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,c80db7de-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,beebf8a0-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c67fd884-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,c0cf667a-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,No,No,Yes,Yes,No,"(28.8, 36.0]",Bank transfer (automatic),No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,Yes,caa6dff2-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bf147ae6-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(21.6, 28.8]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bfc461ea-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becc716a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,bf5b28e2-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bfa53f7c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(21.6, 28.8]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c2945e52-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,Yes,No,No,Yes,"(50.4, 57.6]",Mailed check,Yes,Two year,Yes,"(98.65, 108.7]",No,Female,Yes,Yes,d1f8fcea-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(43.2, 50.4]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,c68e3d0c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,No,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c368a96e-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bed07b70-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bf147c12-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,bf1b13d8-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(50.4, 57.6]",Bank transfer (automatic),Yes,Two year,No,"(108.7, 118.75]",Yes,Female,Yes,Yes,c31b83be-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c945ad8c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Bank transfer (automatic),No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,c3105bd8-7b0c-11ec-a944-acde48001122,0
DSL,Yes,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(28.3, 38.35]",No phone service,Female,No,Yes,cbd7beaa-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,Yes,"(64.8, 72.0]",Mailed check,No,Two year,Yes,"(38.35, 48.4]",No phone service,Male,No,No,cd630568-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,Yes,bfce9f52-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,c8aca664-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(21.6, 28.8]",Electronic check,Yes,Month-to-month,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,c29591be-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c034fe32-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,bef35082-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf6d85dc-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(14.4, 21.6]",Credit card (automatic),No,Month-to-month,Yes,"(58.45, 68.5]",Yes,Male,Yes,Yes,cd020b96-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,No,No,"(57.6, 64.8]",Electronic check,Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,Yes,cffab10e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,No,Yes,"(7.2, 14.4]",Credit card (automatic),No,One year,Yes,"(58.45, 68.5]",No,Female,Yes,No,ce10507e-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,No,No,Yes,"(28.8, 36.0]",Electronic check,Yes,One year,No,"(78.55, 88.6]",No,Female,Yes,No,c8060e94-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,d1e42b58-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,No,No,Yes,"(36.0, 43.2]",Mailed check,No,One year,No,"(88.6, 98.65]",Yes,Male,Yes,No,d12078ac-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,No,No,"(21.6, 28.8]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,c7e88766-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becac626-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,No,No,No,No,No,"(36.0, 43.2]",Credit card (automatic),No,Month-to-month,No,"(48.4, 58.45]",Yes,Female,Yes,Yes,ca1a6694-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,No,Yes,No,No,"(50.4, 57.6]",Bank transfer (automatic),Yes,Two year,No,"(58.45, 68.5]",Yes,Female,Yes,Yes,d2aae626-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,bef3500a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,c2e95678-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,No,No,"(57.6, 64.8]",Credit card (automatic),No,One year,Yes,"(78.55, 88.6]",Yes,Female,Yes,No,c41d600c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c143f1d4-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Mailed check,No,One year,No,"(88.6, 98.65]",No,Female,Yes,Yes,c2bc9d36-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,No,No,"(36.0, 43.2]",Mailed check,Yes,One year,Yes,"(28.3, 38.35]",No phone service,Male,No,No,cda01412-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bef6f9b2-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Credit card (automatic),No,Month-to-month,Yes,"(48.4, 58.45]",No,Male,Yes,No,c09d5ed2-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(57.6, 64.8]",Credit card (automatic),No,One year,No,"(78.55, 88.6]",Yes,Female,Yes,Yes,cc026f1a-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becc6a9e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(98.65, 108.7]",No,Female,Yes,Yes,c22dde3e-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,Yes,Yes,No,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,Yes,"(68.5, 78.55]",Yes,Female,Yes,No,cbd38f24-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,One year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c252fb10-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,No,Yes,"(14.4, 21.6]",Bank transfer (automatic),Yes,Month-to-month,Yes,"(88.6, 98.65]",Yes,Male,Yes,No,d0501306-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,No,bf1a29d2-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,Yes,"(78.55, 88.6]",No,Male,Yes,No,cbd17a72-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c0b5b3f6-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(14.4, 21.6]",Credit card (automatic),Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,c1ffdb6a-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,No,"(43.2, 50.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,Yes,c20bccb8-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,No,Yes,Yes,No,No,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,Yes,"(48.4, 58.45]",No,Male,Yes,No,cc421fc0-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,No,Yes,No,Yes,No,Yes,"(57.6, 64.8]",Electronic check,Yes,Two year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c787935c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(43.2, 50.4]",Bank transfer (automatic),Yes,Month-to-month,No,"(108.7, 118.75]",Yes,Male,Yes,Yes,c8387640-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,bfe7da94-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,Yes,c09419a8-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(98.65, 108.7]",Yes,Male,Yes,Yes,c98963c4-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,No,Yes,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,One year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c001bda6-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c6bc55ca-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(36.0, 43.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,Yes,c1fd1d62-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(57.6, 64.8]",Electronic check,Yes,One year,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c2fcd57c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,"(50.4, 57.6]",Bank transfer (automatic),Yes,One year,Yes,"(98.65, 108.7]",No,Male,Yes,No,c8c1821e-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,No,No,No,"(64.8, 72.0]",Mailed check,Yes,Two year,Yes,"(58.45, 68.5]",Yes,Male,Yes,Yes,cc4b53ce-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(43.2, 50.4]",Electronic check,Yes,One year,No,"(98.65, 108.7]",Yes,Male,Yes,No,c83541dc-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(28.3, 38.35]",No phone service,Female,No,Yes,cdc797da-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,bed51ffe-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,No,bf8a6382-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(28.8, 36.0]",Bank transfer (automatic),No,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,c30354f6-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bfef3b0e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,Yes,bf76cdcc-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,No,No,"(7.2, 14.4]",Mailed check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,bfacecfe-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,No,Yes,"(14.4, 21.6]",Electronic check,Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,d0450182-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,No,Yes,Yes,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,Yes,c45025aa-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bed07ada-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bed43760-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,No,bff3ce4e-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(36.0, 43.2]",Credit card (automatic),Yes,One year,Yes,"(98.65, 108.7]",Yes,Male,Yes,No,c8d06220-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,No,c1e47258-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,No,No,No,"(43.2, 50.4]",Credit card (automatic),Yes,Two year,Yes,"(48.4, 58.45]",No,Female,Yes,No,cd9a98fc-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,No,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,No,"(38.35, 48.4]",No phone service,Female,No,No,d57df3c0-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,Yes,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c7235766-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,No,No,Yes,"(57.6, 64.8]",Electronic check,Yes,Two year,Yes,"(88.6, 98.65]",Yes,Female,Yes,Yes,cb452158-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Electronic check,No,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c0322ee6-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,bee5983e-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(43.2, 50.4]",Bank transfer (automatic),No,Month-to-month,No,"(48.4, 58.45]",No phone service,Female,No,No,d090d616-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,No,No,No,No,"(7.2, 14.4]",Mailed check,Yes,Month-to-month,No,"(58.45, 68.5]",No,Male,Yes,No,d584d852-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,Yes,"(38.35, 48.4]",No phone service,Male,No,No,ccdfa1a0-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c0c64a4a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,Yes,Yes,No,Yes,"(36.0, 43.2]",Bank transfer (automatic),Yes,Month-to-month,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,c308ed26-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c21c5812-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,No,Yes,No,No,No,"(28.8, 36.0]",Mailed check,Yes,One year,No,"(28.3, 38.35]",No phone service,Male,No,No,ca893db2-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,No,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,c04c3336-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(78.55, 88.6]",Yes,Female,Yes,No,d06e352a-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,Yes,No,No internet service,"(50.4, 57.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c738e428-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,Yes,No,No,"(57.6, 64.8]",Credit card (automatic),No,One year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,c8f70ca4-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,Yes,No,No,"(43.2, 50.4]",Bank transfer (automatic),No,One year,Yes,"(58.45, 68.5]",Yes,Female,Yes,No,cc20e2c4-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,No,Yes,No,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,c4ce9c32-7b0c-11ec-a944-acde48001122,1
