,PaymentMethod_x,PaymentMethod_y
5885,Mailed check,Mailed check
5886,Mailed check,Mailed check
5887,Mailed check,Mailed check
5888,Electronic check,Electronic check
5889,Electronic check,Electronic check
5890,Credit card (automatic),Credit card (automatic)
5891,Electronic check,Credit card (automatic)
5892,Mailed check,Mailed check
5893,Bank transfer (automatic),Bank transfer (automatic)
5894,Credit card (automatic),Credit card (automatic)
5895,Mailed check,Mailed check
5896,Credit card (automatic),Credit card (automatic)
5897,Credit card (automatic),Credit card (automatic)
5898,Credit card (automatic),Credit card (automatic)
5899,Mailed check,Mailed check
5900,Bank transfer (automatic),Bank transfer (automatic)
5901,Electronic check,Credit card (automatic)
5902,Mailed check,Mailed check
5903,Credit card (automatic),Credit card (automatic)
5904,Electronic check,Credit card (automatic)
5905,Electronic check,Electronic check
5906,Electronic check,Electronic check
5907,Mailed check,Mailed check
5908,Mailed check,Mailed check
5909,Mailed check,Mailed check
5910,Mailed check,Mailed check
5911,Mailed check,Mailed check
5912,Bank transfer (automatic),Bank transfer (automatic)
5913,Credit card (automatic),Credit card (automatic)
5914,Electronic check,Electronic check
5915,Mailed check,Mailed check
5916,Credit card (automatic),Credit card (automatic)
5917,Mailed check,Mailed check
5918,Mailed check,Mailed check
5919,Bank transfer (automatic),Bank transfer (automatic)
5920,Electronic check,Mailed check
5921,Mailed check,Mailed check
5922,Bank transfer (automatic),Bank transfer (automatic)
5923,Electronic check,Electronic check
5924,Credit card (automatic),Credit card (automatic)
5925,Electronic check,Electronic check
5926,Credit card (automatic),Credit card (automatic)
5927,Mailed check,Mailed check
5928,Credit card (automatic),Credit card (automatic)
5929,Electronic check,Credit card (automatic)
5930,Bank transfer (automatic),Bank transfer (automatic)
5931,Electronic check,Electronic check
5932,Electronic check,Electronic check
5933,Electronic check,Electronic check
5934,Electronic check,Electronic check
5935,Electronic check,Electronic check
5936,Mailed check,Mailed check
5937,Electronic check,Electronic check
5938,Electronic check,Bank transfer (automatic)
5939,Mailed check,Mailed check
5940,Mailed check,Mailed check
5941,Bank transfer (automatic),Bank transfer (automatic)
5942,Electronic check,Electronic check
5943,Electronic check,Credit card (automatic)
5944,Mailed check,Mailed check
5945,Credit card (automatic),Credit card (automatic)
5946,Credit card (automatic),Credit card (automatic)
5947,Mailed check,Mailed check
5948,Bank transfer (automatic),Bank transfer (automatic)
5949,Electronic check,Electronic check
5950,Electronic check,Electronic check
5951,Credit card (automatic),Credit card (automatic)
5952,Mailed check,Mailed check
5953,Mailed check,Mailed check
5954,Credit card (automatic),Credit card (automatic)
5955,Bank transfer (automatic),Bank transfer (automatic)
5956,Electronic check,Electronic check
5957,Electronic check,Electronic check
5958,Bank transfer (automatic),Bank transfer (automatic)
5959,Credit card (automatic),Credit card (automatic)
5960,Electronic check,Electronic check
5961,Mailed check,Mailed check
5962,Bank transfer (automatic),Bank transfer (automatic)
5963,Mailed check,Mailed check
5964,Bank transfer (automatic),Bank transfer (automatic)
5965,Credit card (automatic),Credit card (automatic)
5966,Electronic check,Electronic check
5967,Bank transfer (automatic),Bank transfer (automatic)
5968,Mailed check,Mailed check
5969,Electronic check,Mailed check
5970,Electronic check,Electronic check
5971,Credit card (automatic),Credit card (automatic)
5972,Credit card (automatic),Credit card (automatic)
5973,Bank transfer (automatic),Bank transfer (automatic)
5974,Credit card (automatic),Credit card (automatic)
5975,Electronic check,Electronic check
5976,Electronic check,Electronic check
5977,Bank transfer (automatic),Bank transfer (automatic)
5978,Mailed check,Mailed check
5979,Bank transfer (automatic),Bank transfer (automatic)
5980,Credit card (automatic),Credit card (automatic)
5981,Mailed check,Mailed check
5982,Mailed check,Mailed check
5983,Electronic check,Electronic check
5984,Electronic check,Bank transfer (automatic)
5985,Bank transfer (automatic),Bank transfer (automatic)
5986,Credit card (automatic),Credit card (automatic)
5987,Mailed check,Mailed check
5988,Bank transfer (automatic),Bank transfer (automatic)
5989,Electronic check,Electronic check
5990,Electronic check,Electronic check
5991,Electronic check,Electronic check
5992,Credit card (automatic),Credit card (automatic)
5993,Electronic check,Electronic check
5994,Electronic check,Electronic check
5995,Bank transfer (automatic),Bank transfer (automatic)
5996,Bank transfer (automatic),Bank transfer (automatic)
5997,Electronic check,Credit card (automatic)
5998,Mailed check,Mailed check
5999,Electronic check,Electronic check
6000,Credit card (automatic),Credit card (automatic)
6001,Mailed check,Mailed check
6002,Electronic check,Electronic check
6003,Credit card (automatic),Credit card (automatic)
6004,Bank transfer (automatic),Bank transfer (automatic)
6005,Electronic check,Electronic check
6006,Bank transfer (automatic),Bank transfer (automatic)
6007,Bank transfer (automatic),Bank transfer (automatic)
6008,Mailed check,Mailed check
6009,Electronic check,Electronic check
6010,Mailed check,Mailed check
6011,Electronic check,Credit card (automatic)
6012,Electronic check,Electronic check
6013,Electronic check,Electronic check
6014,Credit card (automatic),Credit card (automatic)
6015,Electronic check,Electronic check
6016,Electronic check,Electronic check
6017,Electronic check,Electronic check
6018,Mailed check,Mailed check
6019,Electronic check,Electronic check
6020,Mailed check,Mailed check
6021,Mailed check,Mailed check
6022,Credit card (automatic),Credit card (automatic)
6023,Credit card (automatic),Credit card (automatic)
6024,Credit card (automatic),Credit card (automatic)
6025,Bank transfer (automatic),Bank transfer (automatic)
6026,Credit card (automatic),Credit card (automatic)
6027,Bank transfer (automatic),Bank transfer (automatic)
6028,Bank transfer (automatic),Bank transfer (automatic)
6029,Mailed check,Mailed check
6030,Bank transfer (automatic),Bank transfer (automatic)
6031,Mailed check,Mailed check
6032,Electronic check,Electronic check
6033,Electronic check,Electronic check
6034,Mailed check,Mailed check
6035,Electronic check,Electronic check
6036,Electronic check,Electronic check
6037,Bank transfer (automatic),Bank transfer (automatic)
6038,Bank transfer (automatic),Bank transfer (automatic)
6039,Bank transfer (automatic),Bank transfer (automatic)
6040,Mailed check,Mailed check
6041,Mailed check,Mailed check
6042,Mailed check,Mailed check
6043,Mailed check,Mailed check
6044,Electronic check,Electronic check
6045,Credit card (automatic),Credit card (automatic)
6046,Credit card (automatic),Credit card (automatic)
6047,Electronic check,Electronic check
6048,Electronic check,Electronic check
6049,Credit card (automatic),Credit card (automatic)
6050,Bank transfer (automatic),Bank transfer (automatic)
6051,Mailed check,Mailed check
6052,Electronic check,Electronic check
6053,Electronic check,Credit card (automatic)
6054,Bank transfer (automatic),Bank transfer (automatic)
6055,Electronic check,Electronic check
6056,Credit card (automatic),Credit card (automatic)
6057,Credit card (automatic),Credit card (automatic)
6058,Bank transfer (automatic),Bank transfer (automatic)
6059,Bank transfer (automatic),Bank transfer (automatic)
6060,Electronic check,Bank transfer (automatic)
6061,Mailed check,Mailed check
6062,Credit card (automatic),Credit card (automatic)
6063,Mailed check,Mailed check
6064,Mailed check,Mailed check
6065,Mailed check,Mailed check
6066,Electronic check,Electronic check
6067,Mailed check,Mailed check
6068,Electronic check,Electronic check
6069,Credit card (automatic),Credit card (automatic)
6070,Bank transfer (automatic),Bank transfer (automatic)
6071,Bank transfer (automatic),Bank transfer (automatic)
6072,Mailed check,Mailed check
6073,Mailed check,Mailed check
6074,Electronic check,Electronic check
6075,Mailed check,Mailed check
6076,Bank transfer (automatic),Bank transfer (automatic)
6077,Mailed check,Mailed check
6078,Electronic check,Electronic check
6079,Electronic check,Electronic check
6080,Mailed check,Mailed check
6081,Credit card (automatic),Credit card (automatic)
6082,Electronic check,Electronic check
6083,Bank transfer (automatic),Bank transfer (automatic)
6084,Bank transfer (automatic),Bank transfer (automatic)
6085,Mailed check,Mailed check
6086,Mailed check,Mailed check
6087,Bank transfer (automatic),Bank transfer (automatic)
6088,Electronic check,Electronic check
6089,Electronic check,Electronic check
6090,Credit card (automatic),Credit card (automatic)
6091,Mailed check,Mailed check
6092,Bank transfer (automatic),Bank transfer (automatic)
6093,Electronic check,Credit card (automatic)
6094,Credit card (automatic),Credit card (automatic)
6095,Mailed check,Mailed check
6096,Electronic check,Electronic check
6097,Credit card (automatic),Credit card (automatic)
6098,Bank transfer (automatic),Bank transfer (automatic)
6099,Bank transfer (automatic),Bank transfer (automatic)
6100,Bank transfer (automatic),Bank transfer (automatic)
6101,Credit card (automatic),Credit card (automatic)
6102,Credit card (automatic),Credit card (automatic)
6103,Credit card (automatic),Credit card (automatic)
6104,Electronic check,Bank transfer (automatic)
6105,Credit card (automatic),Credit card (automatic)
6106,Mailed check,Mailed check
6107,Mailed check,Mailed check
6108,Mailed check,Mailed check
6109,Mailed check,Mailed check
6110,Mailed check,Mailed check
6111,Bank transfer (automatic),Bank transfer (automatic)
6112,Electronic check,Mailed check
6113,Mailed check,Mailed check
6114,Electronic check,Electronic check
6115,Credit card (automatic),Credit card (automatic)
6116,Bank transfer (automatic),Bank transfer (automatic)
6117,Bank transfer (automatic),Bank transfer (automatic)
6118,Electronic check,Electronic check
6119,Credit card (automatic),Credit card (automatic)
6120,Electronic check,Electronic check
6121,Bank transfer (automatic),Bank transfer (automatic)
6122,Mailed check,Mailed check
6123,Electronic check,Electronic check
6124,Mailed check,Mailed check
6125,Credit card (automatic),Credit card (automatic)
6126,Credit card (automatic),Credit card (automatic)
6127,Bank transfer (automatic),Bank transfer (automatic)
6128,Electronic check,Electronic check
6129,Electronic check,Mailed check
6130,Credit card (automatic),Credit card (automatic)
6131,Electronic check,Electronic check
6132,Credit card (automatic),Credit card (automatic)
6133,Credit card (automatic),Credit card (automatic)
6134,Credit card (automatic),Credit card (automatic)
6135,Bank transfer (automatic),Bank transfer (automatic)
6136,Bank transfer (automatic),Bank transfer (automatic)
6137,Credit card (automatic),Credit card (automatic)
6138,Bank transfer (automatic),Bank transfer (automatic)
6139,Bank transfer (automatic),Bank transfer (automatic)
6140,Mailed check,Mailed check
6141,Electronic check,Credit card (automatic)
6142,Electronic check,Credit card (automatic)
6143,Mailed check,Mailed check
6144,Electronic check,Electronic check
6145,Credit card (automatic),Credit card (automatic)
6146,Electronic check,Electronic check
6147,Mailed check,Mailed check
6148,Mailed check,Mailed check
6149,Mailed check,Mailed check
6150,Electronic check,Electronic check
6151,Electronic check,Electronic check
6152,Credit card (automatic),Credit card (automatic)
6153,Bank transfer (automatic),Bank transfer (automatic)
6154,Bank transfer (automatic),Bank transfer (automatic)
6155,Mailed check,Mailed check
6156,Credit card (automatic),Credit card (automatic)
6157,Mailed check,Mailed check
6158,Electronic check,Electronic check
6159,Bank transfer (automatic),Bank transfer (automatic)
6160,Credit card (automatic),Credit card (automatic)
6161,Mailed check,Mailed check
6162,Credit card (automatic),Credit card (automatic)
6163,Electronic check,Credit card (automatic)
6164,Credit card (automatic),Credit card (automatic)
6165,Electronic check,Electronic check
6166,Electronic check,Electronic check
6167,Electronic check,Electronic check
6168,Electronic check,Electronic check
6169,Bank transfer (automatic),Bank transfer (automatic)
6170,Credit card (automatic),Credit card (automatic)
6171,Credit card (automatic),Credit card (automatic)
6172,Electronic check,Electronic check
6173,Credit card (automatic),Credit card (automatic)
6174,Electronic check,Electronic check
6175,Electronic check,Electronic check
6176,Electronic check,Electronic check
6177,Electronic check,Electronic check
6178,Mailed check,Mailed check
6179,Bank transfer (automatic),Bank transfer (automatic)
6180,Bank transfer (automatic),Bank transfer (automatic)
6181,Electronic check,Electronic check
6182,Credit card (automatic),Credit card (automatic)
6183,Electronic check,Electronic check
6184,Bank transfer (automatic),Bank transfer (automatic)
6185,Electronic check,Electronic check
6186,Credit card (automatic),Credit card (automatic)
6187,Mailed check,Mailed check
6188,Mailed check,Mailed check
6189,Credit card (automatic),Credit card (automatic)
6190,Electronic check,Electronic check
6191,Electronic check,Electronic check
6192,Electronic check,Credit card (automatic)
6193,Credit card (automatic),Credit card (automatic)
6194,Bank transfer (automatic),Bank transfer (automatic)
6195,Bank transfer (automatic),Bank transfer (automatic)
6196,Credit card (automatic),Credit card (automatic)
6197,Mailed check,Mailed check
6198,Credit card (automatic),Credit card (automatic)
6199,Mailed check,Mailed check
6200,Credit card (automatic),Credit card (automatic)
6201,Electronic check,Bank transfer (automatic)
6202,Mailed check,Mailed check
6203,Credit card (automatic),Credit card (automatic)
6204,Bank transfer (automatic),Bank transfer (automatic)
6205,Bank transfer (automatic),Bank transfer (automatic)
6206,Credit card (automatic),Credit card (automatic)
6207,Electronic check,Credit card (automatic)
6208,Bank transfer (automatic),Bank transfer (automatic)
6209,Mailed check,Mailed check
6210,Credit card (automatic),Credit card (automatic)
6211,Electronic check,Electronic check
6212,Electronic check,Electronic check
6213,Mailed check,Mailed check
6214,Mailed check,Mailed check
6215,Electronic check,Electronic check
6216,Credit card (automatic),Credit card (automatic)
6217,Credit card (automatic),Credit card (automatic)
6218,Bank transfer (automatic),Bank transfer (automatic)
6219,Mailed check,Mailed check
6220,Credit card (automatic),Credit card (automatic)
6221,Bank transfer (automatic),Bank transfer (automatic)
6222,Credit card (automatic),Credit card (automatic)
6223,Electronic check,Electronic check
6224,Bank transfer (automatic),Bank transfer (automatic)
6225,Credit card (automatic),Credit card (automatic)
6226,Mailed check,Mailed check
6227,Bank transfer (automatic),Bank transfer (automatic)
6228,Bank transfer (automatic),Bank transfer (automatic)
6229,Credit card (automatic),Credit card (automatic)
6230,Mailed check,Mailed check
6231,Mailed check,Mailed check
6232,Electronic check,Electronic check
6233,Mailed check,Mailed check
6234,Credit card (automatic),Credit card (automatic)
6235,Mailed check,Mailed check
6236,Bank transfer (automatic),Bank transfer (automatic)
6237,Electronic check,Electronic check
6238,Bank transfer (automatic),Bank transfer (automatic)
6239,Electronic check,Electronic check
6240,Electronic check,Electronic check
6241,Electronic check,Electronic check
6242,Credit card (automatic),Credit card (automatic)
6243,Credit card (automatic),Credit card (automatic)
6244,Credit card (automatic),Credit card (automatic)
6245,Electronic check,Electronic check
6246,Bank transfer (automatic),Bank transfer (automatic)
6247,Electronic check,Bank transfer (automatic)
6248,Credit card (automatic),Credit card (automatic)
6249,Electronic check,Electronic check
6250,Bank transfer (automatic),Bank transfer (automatic)
6251,Electronic check,Credit card (automatic)
6252,Credit card (automatic),Credit card (automatic)
6253,Credit card (automatic),Credit card (automatic)
6254,Electronic check,Electronic check
6255,Mailed check,Mailed check
6256,Mailed check,Mailed check
6257,Electronic check,Electronic check
6258,Mailed check,Mailed check
6259,Bank transfer (automatic),Bank transfer (automatic)
6260,Mailed check,Mailed check
6261,Bank transfer (automatic),Bank transfer (automatic)
6262,Bank transfer (automatic),Bank transfer (automatic)
6263,Electronic check,Electronic check
6264,Bank transfer (automatic),Bank transfer (automatic)
6265,Mailed check,Mailed check
6266,Credit card (automatic),Credit card (automatic)
6267,Electronic check,Electronic check
6268,Bank transfer (automatic),Bank transfer (automatic)
6269,Mailed check,Mailed check
6270,Mailed check,Mailed check
6271,Electronic check,Electronic check
6272,Electronic check,Electronic check
6273,Electronic check,Bank transfer (automatic)
6274,Electronic check,Mailed check
6275,Bank transfer (automatic),Bank transfer (automatic)
6276,Credit card (automatic),Credit card (automatic)
6277,Mailed check,Mailed check
6278,Bank transfer (automatic),Bank transfer (automatic)
6279,Electronic check,Credit card (automatic)
6280,Electronic check,Electronic check
6281,Mailed check,Mailed check
6282,Credit card (automatic),Credit card (automatic)
6283,Credit card (automatic),Credit card (automatic)
6284,Electronic check,Electronic check
6285,Credit card (automatic),Credit card (automatic)
6286,Mailed check,Mailed check
6287,Electronic check,Electronic check
6288,Electronic check,Electronic check
6289,Credit card (automatic),Credit card (automatic)
6290,Bank transfer (automatic),Bank transfer (automatic)
6291,Credit card (automatic),Credit card (automatic)
6292,Electronic check,Electronic check
6293,Mailed check,Mailed check
6294,Mailed check,Mailed check
6295,Bank transfer (automatic),Bank transfer (automatic)
6296,Credit card (automatic),Credit card (automatic)
6297,Electronic check,Electronic check
6298,Bank transfer (automatic),Bank transfer (automatic)
6299,Bank transfer (automatic),Bank transfer (automatic)
6300,Mailed check,Mailed check
6301,Electronic check,Electronic check
6302,Electronic check,Electronic check
6303,Electronic check,Credit card (automatic)
6304,Bank transfer (automatic),Bank transfer (automatic)
6305,Electronic check,Electronic check
6306,Bank transfer (automatic),Bank transfer (automatic)
6307,Bank transfer (automatic),Bank transfer (automatic)
6308,Electronic check,Electronic check
6309,Credit card (automatic),Credit card (automatic)
6310,Electronic check,Electronic check
6311,Electronic check,Credit card (automatic)
6312,Credit card (automatic),Credit card (automatic)
6313,Electronic check,Electronic check
6314,Mailed check,Mailed check
6315,Credit card (automatic),Credit card (automatic)
6316,Mailed check,Mailed check
6317,Electronic check,Electronic check
6318,Credit card (automatic),Credit card (automatic)
6319,Bank transfer (automatic),Bank transfer (automatic)
6320,Electronic check,Electronic check
6321,Bank transfer (automatic),Bank transfer (automatic)
6322,Electronic check,Mailed check
6323,Credit card (automatic),Credit card (automatic)
6324,Electronic check,Bank transfer (automatic)
6325,Electronic check,Electronic check
6326,Credit card (automatic),Credit card (automatic)
6327,Bank transfer (automatic),Bank transfer (automatic)
6328,Credit card (automatic),Credit card (automatic)
6329,Bank transfer (automatic),Bank transfer (automatic)
6330,Mailed check,Mailed check
6331,Electronic check,Electronic check
6332,Bank transfer (automatic),Bank transfer (automatic)
6333,Electronic check,Electronic check
6334,Electronic check,Electronic check
6335,Electronic check,Electronic check
6336,Electronic check,Electronic check
6337,Mailed check,Mailed check
6338,Mailed check,Mailed check
6339,Mailed check,Mailed check
6340,Credit card (automatic),Credit card (automatic)
6341,Electronic check,Electronic check
6342,Electronic check,Electronic check
6343,Mailed check,Mailed check
6344,Bank transfer (automatic),Bank transfer (automatic)
6345,Credit card (automatic),Credit card (automatic)
6346,Credit card (automatic),Credit card (automatic)
6347,Bank transfer (automatic),Bank transfer (automatic)
6348,Credit card (automatic),Credit card (automatic)
6349,Credit card (automatic),Credit card (automatic)
6350,Mailed check,Mailed check
6351,Electronic check,Electronic check
6352,Electronic check,Electronic check
6353,Credit card (automatic),Credit card (automatic)
6354,Bank transfer (automatic),Bank transfer (automatic)
6355,Credit card (automatic),Credit card (automatic)
6356,Electronic check,Bank transfer (automatic)
6357,Electronic check,Electronic check
6358,Bank transfer (automatic),Bank transfer (automatic)
6359,Electronic check,Electronic check
6360,Mailed check,Mailed check
6361,Bank transfer (automatic),Bank transfer (automatic)
6362,Mailed check,Mailed check
6363,Electronic check,Credit card (automatic)
6364,Credit card (automatic),Credit card (automatic)
6365,Electronic check,Electronic check
6366,Mailed check,Mailed check
6367,Bank transfer (automatic),Bank transfer (automatic)
6368,Electronic check,Bank transfer (automatic)
6369,Electronic check,Mailed check
6370,Credit card (automatic),Credit card (automatic)
6371,Credit card (automatic),Credit card (automatic)
6372,Credit card (automatic),Credit card (automatic)
6373,Bank transfer (automatic),Bank transfer (automatic)
6374,Mailed check,Mailed check
6375,Credit card (automatic),Credit card (automatic)
6376,Bank transfer (automatic),Bank transfer (automatic)
6377,Mailed check,Mailed check
6378,Electronic check,Electronic check
6379,Bank transfer (automatic),Bank transfer (automatic)
6380,Electronic check,Electronic check
6381,Mailed check,Mailed check
6382,Electronic check,Mailed check
6383,Mailed check,Mailed check
6384,Mailed check,Mailed check
6385,Electronic check,Credit card (automatic)
6386,Credit card (automatic),Credit card (automatic)
6387,Electronic check,Electronic check
6388,Mailed check,Mailed check
6389,Credit card (automatic),Credit card (automatic)
6390,Electronic check,Electronic check
6391,Credit card (automatic),Credit card (automatic)
6392,Electronic check,Mailed check
6393,Credit card (automatic),Credit card (automatic)
6394,Bank transfer (automatic),Bank transfer (automatic)
6395,Electronic check,Credit card (automatic)
6396,Credit card (automatic),Credit card (automatic)
6397,Bank transfer (automatic),Bank transfer (automatic)
6398,Bank transfer (automatic),Bank transfer (automatic)
6399,Electronic check,Electronic check
6400,Bank transfer (automatic),Bank transfer (automatic)
6401,Mailed check,Mailed check
6402,Bank transfer (automatic),Bank transfer (automatic)
6403,Bank transfer (automatic),Bank transfer (automatic)
6404,Electronic check,Electronic check
6405,Bank transfer (automatic),Bank transfer (automatic)
6406,Credit card (automatic),Credit card (automatic)
6407,Mailed check,Mailed check
6408,Bank transfer (automatic),Bank transfer (automatic)
6409,Mailed check,Mailed check
6410,Bank transfer (automatic),Bank transfer (automatic)
6411,Electronic check,Electronic check
6412,Bank transfer (automatic),Bank transfer (automatic)
6413,Bank transfer (automatic),Bank transfer (automatic)
6414,Credit card (automatic),Credit card (automatic)
6415,Electronic check,Credit card (automatic)
6416,Electronic check,Mailed check
6417,Electronic check,Electronic check
6418,Mailed check,Mailed check
6419,Credit card (automatic),Credit card (automatic)
6420,Electronic check,Electronic check
6421,Credit card (automatic),Credit card (automatic)
6422,Electronic check,Electronic check
6423,Credit card (automatic),Credit card (automatic)
6424,Electronic check,Bank transfer (automatic)
6425,Bank transfer (automatic),Bank transfer (automatic)
6426,Bank transfer (automatic),Bank transfer (automatic)
6427,Mailed check,Mailed check
6428,Mailed check,Mailed check
6429,Credit card (automatic),Credit card (automatic)
6430,Mailed check,Mailed check
6431,Mailed check,Mailed check
6432,Mailed check,Mailed check
6433,Credit card (automatic),Credit card (automatic)
6434,Electronic check,Bank transfer (automatic)
6435,Mailed check,Mailed check
6436,Bank transfer (automatic),Bank transfer (automatic)
6437,Bank transfer (automatic),Bank transfer (automatic)
6438,Electronic check,Electronic check
6439,Electronic check,Electronic check
6440,Electronic check,Electronic check
6441,Credit card (automatic),Credit card (automatic)
6442,Credit card (automatic),Credit card (automatic)
6443,Bank transfer (automatic),Bank transfer (automatic)
6444,Mailed check,Mailed check
6445,Electronic check,Electronic check
6446,Bank transfer (automatic),Bank transfer (automatic)
6447,Mailed check,Mailed check
6448,Electronic check,Mailed check
6449,Mailed check,Mailed check
6450,Mailed check,Mailed check
6451,Electronic check,Electronic check
6452,Bank transfer (automatic),Bank transfer (automatic)
6453,Electronic check,Electronic check
6454,Credit card (automatic),Credit card (automatic)
6455,Electronic check,Mailed check
6456,Credit card (automatic),Credit card (automatic)
6457,Credit card (automatic),Credit card (automatic)
6458,Electronic check,Credit card (automatic)
6459,Credit card (automatic),Credit card (automatic)
6460,Electronic check,Mailed check
6461,Credit card (automatic),Credit card (automatic)
6462,Electronic check,Electronic check
6463,Mailed check,Mailed check
6464,Bank transfer (automatic),Bank transfer (automatic)
6465,Mailed check,Mailed check
6466,Mailed check,Mailed check
6467,Electronic check,Credit card (automatic)
6468,Electronic check,Bank transfer (automatic)
6469,Bank transfer (automatic),Bank transfer (automatic)
6470,Mailed check,Mailed check
6471,Bank transfer (automatic),Bank transfer (automatic)
6472,Bank transfer (automatic),Bank transfer (automatic)
6473,Electronic check,Electronic check
6474,Mailed check,Mailed check
6475,Mailed check,Mailed check
6476,Bank transfer (automatic),Bank transfer (automatic)
6477,Bank transfer (automatic),Bank transfer (automatic)
6478,Credit card (automatic),Credit card (automatic)
6479,Credit card (automatic),Credit card (automatic)
6480,Mailed check,Mailed check
6481,Credit card (automatic),Credit card (automatic)
6482,Electronic check,Electronic check
6483,Electronic check,Electronic check
6484,Bank transfer (automatic),Bank transfer (automatic)
6485,Mailed check,Mailed check
6486,Bank transfer (automatic),Bank transfer (automatic)
6487,Bank transfer (automatic),Bank transfer (automatic)
6488,Electronic check,Electronic check
6489,Mailed check,Mailed check
6490,Mailed check,Mailed check
6491,Electronic check,Electronic check
6492,Mailed check,Mailed check
6493,Electronic check,Electronic check
6494,Mailed check,Mailed check
6495,Electronic check,Electronic check
6496,Electronic check,Electronic check
6497,Electronic check,Electronic check
6498,Electronic check,Electronic check
6499,Mailed check,Mailed check
6500,Mailed check,Mailed check
6501,Bank transfer (automatic),Bank transfer (automatic)
6502,Bank transfer (automatic),Bank transfer (automatic)
6503,Electronic check,Mailed check
6504,Electronic check,Electronic check
6505,Bank transfer (automatic),Bank transfer (automatic)
6506,Electronic check,Electronic check
6507,Bank transfer (automatic),Bank transfer (automatic)
6508,Electronic check,Electronic check
6509,Electronic check,Electronic check
6510,Mailed check,Mailed check
6511,Bank transfer (automatic),Bank transfer (automatic)
6512,Electronic check,Electronic check
6513,Bank transfer (automatic),Bank transfer (automatic)
6514,Electronic check,Credit card (automatic)
6515,Credit card (automatic),Credit card (automatic)
6516,Electronic check,Electronic check
6517,Electronic check,Credit card (automatic)
6518,Electronic check,Electronic check
6519,Electronic check,Electronic check
6520,Electronic check,Electronic check
6521,Mailed check,Mailed check
6522,Bank transfer (automatic),Bank transfer (automatic)
6523,Mailed check,Mailed check
6524,Electronic check,Electronic check
6525,Mailed check,Mailed check
6526,Bank transfer (automatic),Bank transfer (automatic)
6527,Mailed check,Mailed check
6528,Credit card (automatic),Credit card (automatic)
6529,Mailed check,Mailed check
6530,Bank transfer (automatic),Bank transfer (automatic)
6531,Bank transfer (automatic),Bank transfer (automatic)
6532,Bank transfer (automatic),Bank transfer (automatic)
6533,Electronic check,Electronic check
6534,Mailed check,Mailed check
6535,Bank transfer (automatic),Bank transfer (automatic)
6536,Mailed check,Mailed check
6537,Credit card (automatic),Credit card (automatic)
6538,Electronic check,Credit card (automatic)
6539,Electronic check,Electronic check
6540,Electronic check,Electronic check
6541,Mailed check,Mailed check
6542,Mailed check,Mailed check
6543,Credit card (automatic),Credit card (automatic)
6544,Bank transfer (automatic),Bank transfer (automatic)
6545,Electronic check,Electronic check
6546,Electronic check,Electronic check
6547,Electronic check,Electronic check
6548,Mailed check,Mailed check
6549,Electronic check,Electronic check
6550,Electronic check,Electronic check
6551,Electronic check,Electronic check
6552,Bank transfer (automatic),Bank transfer (automatic)
6553,Bank transfer (automatic),Bank transfer (automatic)
6554,Electronic check,Electronic check
6555,Mailed check,Mailed check
6556,Credit card (automatic),Credit card (automatic)
6557,Electronic check,Electronic check
6558,Bank transfer (automatic),Bank transfer (automatic)
6559,Electronic check,Electronic check
6560,Mailed check,Mailed check
6561,Electronic check,Electronic check
6562,Electronic check,Credit card (automatic)
6563,Bank transfer (automatic),Bank transfer (automatic)
6564,Credit card (automatic),Credit card (automatic)
6565,Electronic check,Electronic check
6566,Credit card (automatic),Credit card (automatic)
6567,Electronic check,Mailed check
6568,Mailed check,Mailed check
6569,Mailed check,Mailed check
6570,Mailed check,Mailed check
6571,Mailed check,Mailed check
6572,Credit card (automatic),Credit card (automatic)
6573,Bank transfer (automatic),Bank transfer (automatic)
6574,Electronic check,Electronic check
6575,Mailed check,Mailed check
6576,Mailed check,Mailed check
6577,Bank transfer (automatic),Bank transfer (automatic)
6578,Credit card (automatic),Credit card (automatic)
6579,Credit card (automatic),Credit card (automatic)
6580,Credit card (automatic),Credit card (automatic)
6581,Mailed check,Mailed check
6582,Credit card (automatic),Credit card (automatic)
6583,Mailed check,Mailed check
6584,Credit card (automatic),Credit card (automatic)
6585,Mailed check,Mailed check
6586,Credit card (automatic),Credit card (automatic)
6587,Bank transfer (automatic),Bank transfer (automatic)
6588,Mailed check,Mailed check
6589,Credit card (automatic),Credit card (automatic)
6590,Electronic check,Electronic check
6591,Credit card (automatic),Credit card (automatic)
6592,Credit card (automatic),Credit card (automatic)
6593,Bank transfer (automatic),Bank transfer (automatic)
6594,Electronic check,Electronic check
6595,Electronic check,Bank transfer (automatic)
6596,Electronic check,Electronic check
6597,Credit card (automatic),Credit card (automatic)
6598,Credit card (automatic),Credit card (automatic)
6599,Electronic check,Credit card (automatic)
6600,Credit card (automatic),Credit card (automatic)
6601,Credit card (automatic),Credit card (automatic)
6602,Credit card (automatic),Credit card (automatic)
6603,Credit card (automatic),Credit card (automatic)
6604,Electronic check,Electronic check
6605,Credit card (automatic),Credit card (automatic)
6606,Electronic check,Credit card (automatic)
6607,Electronic check,Electronic check
6608,Credit card (automatic),Credit card (automatic)
6609,Mailed check,Mailed check
6610,Mailed check,Mailed check
6611,Bank transfer (automatic),Bank transfer (automatic)
6612,Mailed check,Mailed check
6613,Mailed check,Mailed check
6614,Credit card (automatic),Credit card (automatic)
6615,Electronic check,Electronic check
6616,Electronic check,Electronic check
