PaymentMethod,OnlineSecurity,DeviceProtection,MultipleLines,Partner,SeniorCitizen,Contract,PhoneService,tenure_bins,InternetService,Dependents,TechSupport,PaperlessBilling,gender,StreamingTV,OnlineBackup,monthly_charges_bins,StreamingMovies,customerID,Churn
Mailed check,Yes,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Female,No,Yes,"(48.4, 58.45]",No,ee001a02-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No,No,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,No,No,Yes,Male,No,No,"(48.4, 58.45]",No,ee3e11ea-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No phone service,No,No,One year,No,"(28.8, 36.0]",DSL,No,Yes,Yes,Female,No,No,"(38.35, 48.4]",Yes,fc8c7138-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,Yes,No,No,One year,Yes,"(21.6, 28.8]",DSL,No,No,No,Male,No,Yes,"(58.45, 68.5]",No,f14496de-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,No phone service,Yes,No,One year,No,"(50.4, 57.6]",DSL,Yes,No,No,Male,Yes,Yes,"(58.45, 68.5]",Yes,f269b666-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Female,No,No,"(38.35, 48.4]",No,e7d5552a-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,Yes,No,No,Two year,Yes,"(36.0, 43.2]",Fiber optic,Yes,Yes,No,Male,Yes,No,"(98.65, 108.7]",Yes,ee6aeb7a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(64.8, 72.0]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7cc9ff2-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Female,Yes,No,"(68.5, 78.55]",Yes,fb999fee-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e7ef8a8a-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,Yes,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,No,Male,No,No,"(78.55, 88.6]",Yes,f7002b9c-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(98.65, 108.7]",No,f4832694-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aedf80-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,Yes,Yes,Yes,Female,Yes,No,"(78.55, 88.6]",No,fa6845ee-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,Yes,Male,No,Yes,"(48.4, 58.45]",No,f678915a-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,No,Yes,No,Two year,Yes,"(28.8, 36.0]",DSL,Yes,Yes,No,Female,Yes,Yes,"(78.55, 88.6]",Yes,eeebe9a0-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aa7ba2-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,Yes,Yes,Female,No,No,"(48.4, 58.45]",No,e831493e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Male,No,No,"(38.35, 48.4]",No,e7c84132-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e7ae024a-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,No,Yes,Yes,Male,Yes,Yes,"(78.55, 88.6]",Yes,f4800978-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,No,Yes,No,One year,Yes,"(28.8, 36.0]",DSL,Yes,No,Yes,Female,No,Yes,"(58.45, 68.5]",No,ef0df0c2-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7d8df74-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,Yes,No,Month-to-month,Yes,"(57.6, 64.8]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,e9a3e236-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,No phone service,Yes,No,Two year,No,"(43.2, 50.4]",DSL,Yes,Yes,Yes,Male,No,Yes,"(48.4, 58.45]",Yes,f932a638-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Male,Yes,No,"(88.6, 98.65]",Yes,e99d8c7e-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Male,Yes,No,"(78.55, 88.6]",No,e837c02a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,Yes,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,Yes,No,Yes,Female,No,Yes,"(88.6, 98.65]",Yes,f5a6f2ee-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No,No,No,Two year,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,ecbfa3c4-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7bf72aa-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7c4c50c-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f799c914-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Two year,Yes,"(14.4, 21.6]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd3bf7ca-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eae4924e-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,No,Yes,No,One year,Yes,"(57.6, 64.8]",DSL,Yes,Yes,No,Male,No,No,"(68.5, 78.55]",Yes,f89830ee-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,No,Yes,Yes,Female,Yes,Yes,"(88.6, 98.65]",Yes,e92d759c-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a993b8-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,No,Female,Yes,Yes,"(88.6, 98.65]",Yes,e80201ba-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,Yes,No,One year,Yes,"(28.8, 36.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,edb1f908-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,Yes,Yes,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Female,No,No,"(78.55, 88.6]",Yes,fbb2dcde-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,Yes,No,No,Two year,Yes,"(28.8, 36.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fda46c24-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,Yes,Yes,No,One year,Yes,"(43.2, 50.4]",Fiber optic,No,Yes,No,Female,Yes,Yes,"(108.7, 118.75]",Yes,ef4399d4-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No phone service,No,No,One year,No,"(14.4, 21.6]",DSL,No,No,Yes,Female,Yes,No,"(38.35, 48.4]",Yes,fc8d9be4-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(50.4, 57.6]",No,Yes,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd4c5868-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No phone service,No,No,Two year,No,"(14.4, 21.6]",DSL,No,No,Yes,Female,No,Yes,"(38.35, 48.4]",Yes,f221dd3c-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,Yes,No,No,Two year,Yes,"(36.0, 43.2]",DSL,No,Yes,Yes,Male,No,No,"(48.4, 58.45]",No,fcf9abae-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(36.0, 43.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3c1e77c-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,Yes,No,One year,Yes,"(57.6, 64.8]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,f2581f8c-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aa7d28-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(57.6, 64.8]",No,Yes,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e82225da-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,Yes,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,Yes,"(68.5, 78.55]",No,f19ba3c0-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,Yes,Yes,Yes,Female,No,No,"(48.4, 58.45]",No,f286224c-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(57.6, 64.8]",DSL,No,Yes,Yes,Female,Yes,No,"(78.55, 88.6]",Yes,fae60934-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,No,One year,Yes,"(57.6, 64.8]",Fiber optic,Yes,No,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,eafebf20-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,Yes,No,"(88.6, 98.65]",Yes,eb59ed32-773a-11ec-b2a1-acde48001122,1
Electronic check,Yes,Yes,Yes,Yes,No,One year,Yes,"(36.0, 43.2]",Fiber optic,No,Yes,Yes,Male,Yes,No,"(108.7, 118.75]",Yes,f2443dfa-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,Yes,No,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,f5df3550-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,Yes,Yes,No,No,Two year,Yes,"(43.2, 50.4]",DSL,No,Yes,No,Male,No,No,"(68.5, 78.55]",Yes,f8774564-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,No,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f7b44546-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No phone service,No,No,Month-to-month,No,"(50.4, 57.6]",DSL,No,No,Yes,Male,No,Yes,"(38.35, 48.4]",Yes,f318b83c-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,Yes,No,Yes,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,f5b777f4-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,No,Female,No,No,"(68.5, 78.55]",No,f0fdc380-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7d8de8e-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,Yes,Yes,One year,Yes,"(36.0, 43.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,ee37fe2c-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No phone service,No,No,Month-to-month,No,"(-0.073, 7.2]",DSL,No,No,No,Female,No,No,"(18.148999999999997, 28.3]",No,e8cc8f7a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,No,No,One year,Yes,"(36.0, 43.2]",Fiber optic,No,Yes,No,Male,Yes,No,"(88.6, 98.65]",No,f8692416-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,Yes,No,Two year,No,"(28.8, 36.0]",DSL,Yes,Yes,Yes,Male,Yes,No,"(38.35, 48.4]",No,ec3fff16-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aa7d0a-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,Yes,No,One year,Yes,"(50.4, 57.6]",Fiber optic,Yes,No,Yes,Female,Yes,Yes,"(88.6, 98.65]",No,fe69c924-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,e9da73b4-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",No,Yes,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,ed99bf5a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,No phone service,No,No,Month-to-month,No,"(36.0, 43.2]",DSL,No,No,Yes,Female,Yes,No,"(48.4, 58.45]",Yes,f7d20b44-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Female,No,No,"(48.4, 58.45]",Yes,e7defd5a-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,Yes,Female,No,Yes,"(48.4, 58.45]",No,fa64e08e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,No,No,Two year,Yes,"(50.4, 57.6]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3b425b0-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,Yes,No,One year,Yes,"(21.6, 28.8]",No,Yes,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,edb2f0e2-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,Yes,Yes,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,Yes,Yes,Female,Yes,No,"(78.55, 88.6]",No,ec07e572-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7ac4694-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,Yes,No,One year,Yes,"(-0.073, 7.2]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,ea86434c-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,One year,Yes,"(28.8, 36.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7cbb934-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,e7e892c0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",No,Yes,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8ad11ae-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,No,No phone service,Yes,Yes,Month-to-month,No,"(-0.073, 7.2]",DSL,No,No,No,Male,No,No,"(28.3, 38.35]",No,f321069a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,No,No,Month-to-month,No,"(7.2, 14.4]",DSL,No,No,Yes,Male,Yes,No,"(38.35, 48.4]",Yes,ebfc5504-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(78.55, 88.6]",Yes,f65b66c0-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,Yes,Yes,Yes,Yes,One year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,Yes,Male,No,Yes,"(68.5, 78.55]",Yes,f72928da-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,Yes,Yes,Male,No,No,"(88.6, 98.65]",Yes,f865d02c-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7ac4626-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3a764a6-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,No phone service,No,No,One year,No,"(50.4, 57.6]",DSL,No,Yes,Yes,Female,No,No,"(38.35, 48.4]",No,f91ea41c-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No phone service,Yes,No,Two year,No,"(43.2, 50.4]",DSL,No,No,No,Male,Yes,Yes,"(48.4, 58.45]",Yes,fc478578-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aede86-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,Yes,Month-to-month,Yes,"(64.8, 72.0]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,e95b7532-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,"(14.4, 21.6]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eb027b9c-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,Yes,No,No,Female,No,No,"(48.4, 58.45]",No,ee88976a-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,No,No,One year,Yes,"(7.2, 14.4]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e9c6b392-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Male,No,No,"(38.35, 48.4]",No,e7b40eec-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,No,Yes,One year,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,e8be02de-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a995c0-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(78.55, 88.6]",No,f6abe2c6-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,f7176514-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,No,Yes,No,One year,Yes,"(43.2, 50.4]",DSL,Yes,Yes,No,Female,Yes,No,"(68.5, 78.55]",No,f521d53c-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,Yes,No,One year,Yes,"(7.2, 14.4]",No,Yes,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e86afd1e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No,Yes,No,One year,Yes,"(50.4, 57.6]",DSL,Yes,No,Yes,Female,Yes,No,"(68.5, 78.55]",Yes,f3eab558-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,No,No,Two year,Yes,"(50.4, 57.6]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e89b42a8-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,Yes,No,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,f236bab8-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,Yes,Yes,No,No,One year,Yes,"(57.6, 64.8]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,f87a9b42-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No,Yes,Yes,One year,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(88.6, 98.65]",No,eb5321e6-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,One year,Yes,"(7.2, 14.4]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7e1a140-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,No,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(88.6, 98.65]",No,fdd62390-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,No,Yes,One year,Yes,"(43.2, 50.4]",Fiber optic,No,No,No,Female,No,Yes,"(88.6, 98.65]",Yes,fb9ac810-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,Yes,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,ed8d85dc-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e9136922-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Female,No,No,"(38.35, 48.4]",No,f69973c0-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,No,No,Yes,No,One year,Yes,"(36.0, 43.2]",DSL,Yes,No,No,Female,Yes,Yes,"(68.5, 78.55]",Yes,f3ede4d0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(64.8, 72.0]",No,Yes,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd08b7d4-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,"(36.0, 43.2]",No,Yes,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,edf54f96-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,Yes,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,f4618c82-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No phone service,Yes,Yes,Month-to-month,No,"(14.4, 21.6]",DSL,No,No,Yes,Female,Yes,No,"(38.35, 48.4]",Yes,ea50d978-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,Yes,Yes,One year,Yes,"(43.2, 50.4]",Fiber optic,Yes,No,Yes,Male,Yes,Yes,"(78.55, 88.6]",No,f6deb8cc-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Male,No,No,"(38.35, 48.4]",No,e7b24ce2-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No phone service,Yes,No,Two year,No,"(64.8, 72.0]",DSL,No,No,No,Male,Yes,Yes,"(48.4, 58.45]",Yes,ec506e64-773a-11ec-b2a1-acde48001122,1
Electronic check,No internet service,No internet service,No,Yes,No,One year,Yes,"(50.4, 57.6]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eab17ff8-773a-11ec-b2a1-acde48001122,0
